Epoch 101    Validation MSELoss: 6.277280e-05    Training MSELoss: 8.185493e-05
Epoch 102    Validation MSELoss: 6.898901e-05    Training MSELoss: 8.158798e-05
Epoch 103    Validation MSELoss: 7.679452e-05    Training MSELoss: 8.009686e-05
Epoch 104    Validation MSELoss: 6.348930e-05    Training MSELoss: 7.880104e-05
Epoch 105    Validation MSELoss: 7.204166e-05    Training MSELoss: 8.308257e-05
Epoch 106    Validation MSELoss: 6.714354e-05    Training MSELoss: 8.216683e-05
Epoch 107    Validation MSELoss: 7.110900e-05    Training MSELoss: 8.301379e-05
Epoch 108    Validation MSELoss: 1.097543e-04    Training MSELoss: 7.893286e-05
Epoch 109    Validation MSELoss: 6.487036e-05    Training MSELoss: 7.812031e-05
Epoch 110    Validation MSELoss: 7.345041e-05    Training MSELoss: 7.498526e-05
Epoch 111    Validation MSELoss: 6.351691e-05    Training MSELoss: 7.540205e-05
Epoch 112    Validation MSELoss: 6.987325e-05    Training MSELoss: 7.493448e-05
Epoch 113    Validation MSELoss: 6.692560e-05    Training MSELoss: 7.475380e-05
Epoch 114    Validation MSELoss: 6.128867e-05    Training MSELoss: 1.014670e-04
Epoch 115    Validation MSELoss: 6.576111e-05    Training MSELoss: 7.796381e-05
Epoch 116    Validation MSELoss: 5.985023e-05    Training MSELoss: 7.470554e-05
Epoch 117    Validation MSELoss: 5.693267e-05    Training MSELoss: 7.346478e-05
Epoch 118    Validation MSELoss: 5.525812e-05    Training MSELoss: 7.267679e-05
Epoch 119    Validation MSELoss: 5.647197e-05    Training MSELoss: 7.375098e-05
Epoch 120    Validation MSELoss: 7.108178e-05    Training MSELoss: 7.422628e-05
Epoch 121    Validation MSELoss: 5.257666e-05    Training MSELoss: 6.886290e-05
Epoch 122    Validation MSELoss: 6.073548e-05    Training MSELoss: 6.959595e-05
Epoch 123    Validation MSELoss: 5.595966e-05    Training MSELoss: 6.812560e-05
Epoch 124    Validation MSELoss: 5.108616e-05    Training MSELoss: 6.985527e-05
Epoch 125    Validation MSELoss: 4.971701e-05    Training MSELoss: 6.669523e-05
Epoch 126    Validation MSELoss: 5.564608e-05    Training MSELoss: 6.673177e-05
Epoch 127    Validation MSELoss: 5.613366e-05    Training MSELoss: 6.748078e-05
Epoch 128    Validation MSELoss: 5.738705e-05    Training MSELoss: 6.455211e-05
Epoch 129    Validation MSELoss: 6.700695e-05    Training MSELoss: 6.868370e-05
Epoch 130    Validation MSELoss: 5.111836e-05    Training MSELoss: 6.702341e-05
Epoch 131    Validation MSELoss: 5.801542e-05    Training MSELoss: 6.522140e-05
Epoch 132    Validation MSELoss: 5.243763e-05    Training MSELoss: 6.504132e-05
Epoch 133    Validation MSELoss: 4.152310e-05    Training MSELoss: 6.771174e-05
Epoch 134    Validation MSELoss: 9.324519e-05    Training MSELoss: 6.278283e-05
Epoch 135    Validation MSELoss: 5.226861e-05    Training MSELoss: 6.015602e-05
Epoch 136    Validation MSELoss: 4.286979e-05    Training MSELoss: 6.171958e-05
Epoch 137    Validation MSELoss: 5.636670e-05    Training MSELoss: 6.158141e-05
Epoch 138    Validation MSELoss: 4.738955e-05    Training MSELoss: 5.942065e-05
Epoch 139    Validation MSELoss: 4.819299e-05    Training MSELoss: 5.909794e-05
Epoch 140    Validation MSELoss: 4.765024e-05    Training MSELoss: 5.824650e-05
Epoch 141    Validation MSELoss: 4.425630e-05    Training MSELoss: 6.086520e-05
Epoch 142    Validation MSELoss: 5.271294e-05    Training MSELoss: 6.020228e-05
Epoch 143    Validation MSELoss: 4.643189e-05    Training MSELoss: 6.051531e-05
Epoch 144    Validation MSELoss: 3.839656e-05    Training MSELoss: 5.751207e-05
Epoch 145    Validation MSELoss: 5.115523e-05    Training MSELoss: 5.859044e-05
Epoch 146    Validation MSELoss: 4.238982e-05    Training MSELoss: 5.668066e-05
Epoch 147    Validation MSELoss: 4.244318e-05    Training MSELoss: 5.900583e-05
Epoch 148    Validation MSELoss: 5.132196e-05    Training MSELoss: 5.547164e-05
Epoch 149    Validation MSELoss: 4.304820e-05    Training MSELoss: 5.313891e-05
Epoch 150    Validation MSELoss: 4.223510e-05    Training MSELoss: 5.433318e-05
Epoch 151    Validation MSELoss: 3.202083e-05    Training MSELoss: 5.238899e-05
Epoch 152    Validation MSELoss: 3.685406e-05    Training MSELoss: 5.166285e-05
Epoch 153    Validation MSELoss: 3.925126e-05    Training MSELoss: 5.447410e-05
Epoch 154    Validation MSELoss: 4.242805e-05    Training MSELoss: 5.157103e-05
Epoch 155    Validation MSELoss: 4.149297e-05    Training MSELoss: 5.168192e-05
Epoch 156    Validation MSELoss: 3.938190e-05    Training MSELoss: 5.357963e-05
Epoch 157    Validation MSELoss: 3.390331e-05    Training MSELoss: 4.840800e-05
Epoch 158    Validation MSELoss: 3.775085e-05    Training MSELoss: 4.959887e-05
Epoch 159    Validation MSELoss: 3.538266e-05    Training MSELoss: 5.046371e-05
Epoch 160    Validation MSELoss: 3.945775e-05    Training MSELoss: 5.117952e-05
Epoch 161    Validation MSELoss: 4.127140e-05    Training MSELoss: 4.878952e-05
Epoch 162    Validation MSELoss: 3.780952e-05    Training MSELoss: 4.920365e-05
Epoch 163    Validation MSELoss: 3.578194e-05    Training MSELoss: 4.826524e-05
Epoch 164    Validation MSELoss: 4.690636e-05    Training MSELoss: 4.959825e-05
Epoch 165    Validation MSELoss: 3.476606e-05    Training MSELoss: 4.846950e-05
Epoch 166    Validation MSELoss: 3.306716e-05    Training MSELoss: 4.502805e-05
Epoch 167    Validation MSELoss: 3.263320e-05    Training MSELoss: 4.498616e-05
Epoch 168    Validation MSELoss: 4.612039e-05    Training MSELoss: 4.406728e-05
Epoch 169    Validation MSELoss: 3.406395e-05    Training MSELoss: 5.252524e-05
Epoch 170    Validation MSELoss: 2.731242e-05    Training MSELoss: 4.634797e-05
Epoch 171    Validation MSELoss: 2.922408e-05    Training MSELoss: 4.496064e-05
Epoch 172    Validation MSELoss: 2.914217e-05    Training MSELoss: 4.490390e-05
Epoch 173    Validation MSELoss: 4.075329e-05    Training MSELoss: 4.467077e-05
Epoch 174    Validation MSELoss: 2.812353e-05    Training MSELoss: 4.368347e-05
Epoch 175    Validation MSELoss: 2.995500e-05    Training MSELoss: 4.365611e-05
Epoch 176    Validation MSELoss: 3.041406e-05    Training MSELoss: 4.438732e-05
Epoch 177    Validation MSELoss: 3.012691e-05    Training MSELoss: 4.539770e-05
Epoch 178    Validation MSELoss: 2.389483e-05    Training MSELoss: 4.255792e-05
Epoch 179    Validation MSELoss: 2.719602e-05    Training MSELoss: 4.185232e-05
Epoch 180    Validation MSELoss: 2.647774e-05    Training MSELoss: 4.107857e-05
Epoch 181    Validation MSELoss: 2.734080e-05    Training MSELoss: 4.299952e-05
Epoch 182    Validation MSELoss: 2.952144e-05    Training MSELoss: 4.310760e-05
Epoch 183    Validation MSELoss: 2.742384e-05    Training MSELoss: 4.157386e-05
