Epoch 149    Validation MSELoss: 1.383404e-04    Training MSELoss: 1.182652e-04
Epoch 150    Validation MSELoss: 7.509456e-05    Training MSELoss: 1.286072e-04
Epoch 151    Validation MSELoss: 7.820102e-05    Training MSELoss: 1.232622e-04
Epoch 152    Validation MSELoss: 6.822349e-05    Training MSELoss: 1.187261e-04
Epoch 153    Validation MSELoss: 5.897736e-05    Training MSELoss: 1.168396e-04
Epoch 154    Validation MSELoss: 1.178432e-04    Training MSELoss: 1.117465e-04
Epoch 155    Validation MSELoss: 5.099985e-05    Training MSELoss: 1.097849e-04
Epoch 156    Validation MSELoss: 6.873799e-05    Training MSELoss: 1.271217e-04
Epoch 157    Validation MSELoss: 5.421275e-05    Training MSELoss: 1.172086e-04
Epoch 158    Validation MSELoss: 5.151409e-05    Training MSELoss: 1.079897e-04
Epoch 159    Validation MSELoss: 6.432968e-05    Training MSELoss: 1.159036e-04
Epoch 160    Validation MSELoss: 5.319272e-05    Training MSELoss: 1.150477e-04
Epoch 161    Validation MSELoss: 4.744913e-05    Training MSELoss: 1.041556e-04
Epoch 162    Validation MSELoss: 4.660852e-05    Training MSELoss: 1.033152e-04
Epoch 163    Validation MSELoss: 3.801805e-05    Training MSELoss: 1.037989e-04
Epoch 164    Validation MSELoss: 4.578306e-05    Training MSELoss: 9.913078e-05
Epoch 165    Validation MSELoss: 5.414412e-05    Training MSELoss: 9.793050e-05
Epoch 166    Validation MSELoss: 9.549146e-05    Training MSELoss: 1.079113e-04
Epoch 167    Validation MSELoss: 4.956373e-05    Training MSELoss: 9.808766e-05
Epoch 168    Validation MSELoss: 5.075457e-05    Training MSELoss: 1.086299e-04
Epoch 169    Validation MSELoss: 9.155749e-05    Training MSELoss: 9.605896e-05
Epoch 170    Validation MSELoss: 5.540266e-05    Training MSELoss: 9.976223e-05
Epoch 171    Validation MSELoss: 3.811653e-05    Training MSELoss: 9.877051e-05
Epoch 172    Validation MSELoss: 5.760965e-05    Training MSELoss: 9.732655e-05
Epoch 173    Validation MSELoss: 6.664655e-05    Training MSELoss: 1.067359e-04
Epoch 174    Validation MSELoss: 3.921897e-05    Training MSELoss: 9.797898e-05
Epoch 175    Validation MSELoss: 7.683466e-05    Training MSELoss: 9.780966e-05
Epoch 176    Validation MSELoss: 3.952016e-05    Training MSELoss: 9.783530e-05
Epoch 177    Validation MSELoss: 7.092817e-05    Training MSELoss: 8.642949e-05
Epoch 178    Validation MSELoss: 5.117293e-05    Training MSELoss: 1.491636e-04
Epoch 179    Validation MSELoss: 7.612078e-05    Training MSELoss: 9.273510e-05
Epoch 180    Validation MSELoss: 4.087302e-05    Training MSELoss: 8.572714e-05
Epoch 181    Validation MSELoss: 4.407333e-05    Training MSELoss: 9.171130e-05
Epoch 182    Validation MSELoss: 4.363695e-05    Training MSELoss: 8.440458e-05
Epoch 183    Validation MSELoss: 6.878704e-05    Training MSELoss: 9.473985e-05
Epoch 184    Validation MSELoss: 5.866931e-05    Training MSELoss: 8.473462e-05
Epoch 185    Validation MSELoss: 4.023933e-05    Training MSELoss: 8.895061e-05
Epoch 186    Validation MSELoss: 6.880078e-05    Training MSELoss: 9.000311e-05
Epoch 187    Validation MSELoss: 4.791697e-05    Training MSELoss: 8.609026e-05
Epoch 188    Validation MSELoss: 5.190624e-05    Training MSELoss: 8.383710e-05
Epoch 189    Validation MSELoss: 3.225137e-05    Training MSELoss: 8.755159e-05
Epoch 190    Validation MSELoss: 3.707263e-05    Training MSELoss: 8.280066e-05
