Epoch 119    Validation MSELoss: 2.869559e-03    Training MSELoss: 3.478524e-03
Epoch 120    Validation MSELoss: 3.081237e-03    Training MSELoss: 3.318233e-03
Epoch 121    Validation MSELoss: 2.907138e-03    Training MSELoss: 3.297823e-03
Epoch 122    Validation MSELoss: 2.194512e-03    Training MSELoss: 3.364592e-03
Epoch 123    Validation MSELoss: 3.234048e-03    Training MSELoss: 3.273315e-03
Epoch 124    Validation MSELoss: 3.632473e-03    Training MSELoss: 3.064314e-03
Epoch 125    Validation MSELoss: 3.316430e-03    Training MSELoss: 3.054942e-03
Epoch 126    Validation MSELoss: 3.820394e-03    Training MSELoss: 3.104254e-03
Epoch 127    Validation MSELoss: 3.151031e-03    Training MSELoss: 3.066440e-03
Epoch 128    Validation MSELoss: 3.027657e-03    Training MSELoss: 3.036303e-03
Epoch 129    Validation MSELoss: 2.337464e-03    Training MSELoss: 2.918660e-03
Epoch 130    Validation MSELoss: 3.266691e-03    Training MSELoss: 2.812865e-03
Epoch 131    Validation MSELoss: 3.805852e-03    Training MSELoss: 2.923429e-03
Epoch 132    Validation MSELoss: 4.213145e-03    Training MSELoss: 2.982544e-03
Epoch 133    Validation MSELoss: 2.360077e-03    Training MSELoss: 3.163194e-03
Epoch 134    Validation MSELoss: 2.043640e-03    Training MSELoss: 3.114710e-03
Epoch 135    Validation MSELoss: 2.512988e-03    Training MSELoss: 2.980879e-03
Epoch 136    Validation MSELoss: 9.620833e-03    Training MSELoss: 2.915168e-03
Epoch 137    Validation MSELoss: 4.008810e-03    Training MSELoss: 2.820676e-03
Epoch 138    Validation MSELoss: 2.534960e-03    Training MSELoss: 2.885972e-03
Epoch 139    Validation MSELoss: 2.324505e-03    Training MSELoss: 3.045697e-03
Epoch 140    Validation MSELoss: 2.423719e-03    Training MSELoss: 2.921612e-03
Epoch 141    Validation MSELoss: 5.074090e-03    Training MSELoss: 2.862676e-03
Epoch 142    Validation MSELoss: 2.072219e-03    Training MSELoss: 2.837799e-03
Epoch 143    Validation MSELoss: 2.791220e-03    Training MSELoss: 2.758612e-03
Epoch 144    Validation MSELoss: 1.854564e-03    Training MSELoss: 3.101081e-03
Epoch 145    Validation MSELoss: 3.132680e-03    Training MSELoss: 3.139125e-03
Epoch 146    Validation MSELoss: 2.038758e-03    Training MSELoss: 2.972971e-03
Epoch 147    Validation MSELoss: 2.327811e-03    Training MSELoss: 2.795097e-03
Epoch 148    Validation MSELoss: 1.961469e-03    Training MSELoss: 2.654691e-03
Epoch 149    Validation MSELoss: 2.237269e-03    Training MSELoss: 2.603375e-03
Epoch 150    Validation MSELoss: 3.539624e-03    Training MSELoss: 2.562264e-03
Epoch 151    Validation MSELoss: 2.796339e-03    Training MSELoss: 2.545204e-03
Epoch 152    Validation MSELoss: 3.657053e-03    Training MSELoss: 2.562663e-03
Epoch 153    Validation MSELoss: 1.499155e-03    Training MSELoss: 2.535956e-03
Epoch 154    Validation MSELoss: 2.719053e-03    Training MSELoss: 2.495437e-03
Epoch 155    Validation MSELoss: 3.835365e-03    Training MSELoss: 2.420110e-03
Epoch 156    Validation MSELoss: 1.822622e-03    Training MSELoss: 2.434693e-03
Epoch 157    Validation MSELoss: 2.919418e-03    Training MSELoss: 2.616236e-03
Epoch 158    Validation MSELoss: 1.526088e-03    Training MSELoss: 2.591998e-03
Epoch 159    Validation MSELoss: 3.676228e-03    Training MSELoss: 2.561501e-03
Epoch 160    Validation MSELoss: 5.027140e-03    Training MSELoss: 2.422551e-03
Epoch 161    Validation MSELoss: 2.319550e-03    Training MSELoss: 2.503336e-03
Epoch 162    Validation MSELoss: 3.316555e-03    Training MSELoss: 2.433897e-03
Epoch 163    Validation MSELoss: 1.423930e-03    Training MSELoss: 2.428481e-03
Epoch 164    Validation MSELoss: 1.945166e-03    Training MSELoss: 2.376905e-03
Epoch 165    Validation MSELoss: 1.910966e-03    Training MSELoss: 2.319835e-03
Epoch 166    Validation MSELoss: 3.019658e-03    Training MSELoss: 2.364963e-03
Epoch 167    Validation MSELoss: 1.290169e-03    Training MSELoss: 2.289271e-03
Epoch 168    Validation MSELoss: 1.784826e-03    Training MSELoss: 2.489031e-03
Epoch 169    Validation MSELoss: 2.984555e-03    Training MSELoss: 2.532573e-03
Epoch 170    Validation MSELoss: 3.022298e-03    Training MSELoss: 2.432567e-03
Epoch 171    Validation MSELoss: 4.043647e-03    Training MSELoss: 2.437946e-03
Epoch 172    Validation MSELoss: 3.264867e-03    Training MSELoss: 2.296313e-03
Epoch 173    Validation MSELoss: 2.679423e-03    Training MSELoss: 2.151559e-03
Epoch 174    Validation MSELoss: 2.521247e-03    Training MSELoss: 2.121412e-03
Epoch 175    Validation MSELoss: 2.864262e-03    Training MSELoss: 2.219160e-03
Epoch 176    Validation MSELoss: 2.233123e-03    Training MSELoss: 2.164201e-03
Epoch 177    Validation MSELoss: 1.359947e-03    Training MSELoss: 2.080412e-03
Epoch 178    Validation MSELoss: 1.917026e-03    Training MSELoss: 2.089743e-03
Epoch 179    Validation MSELoss: 2.067175e-03    Training MSELoss: 2.081698e-03
Epoch 180    Validation MSELoss: 2.488314e-03    Training MSELoss: 1.998380e-03
Epoch 181    Validation MSELoss: 1.752023e-03    Training MSELoss: 2.078148e-03
Epoch 182    Validation MSELoss: 1.416754e-03    Training MSELoss: 2.035601e-03
Epoch 183    Validation MSELoss: 1.558871e-03    Training MSELoss: 2.163427e-03
Epoch 184    Validation MSELoss: 1.864801e-03    Training MSELoss: 2.200014e-03
Epoch 185    Validation MSELoss: 4.772331e-03    Training MSELoss: 2.128476e-03
Epoch 186    Validation MSELoss: 1.951624e-03    Training MSELoss: 1.982202e-03
Epoch 187    Validation MSELoss: 1.913028e-03    Training MSELoss: 1.836578e-03
Epoch 188    Validation MSELoss: 2.214469e-03    Training MSELoss: 1.759170e-03
Epoch 189    Validation MSELoss: 1.758940e-03    Training MSELoss: 1.819329e-03
Epoch 190    Validation MSELoss: 1.831617e-03    Training MSELoss: 1.943729e-03
Epoch 191    Validation MSELoss: 1.331766e-03    Training MSELoss: 1.892884e-03
Epoch 192    Validation MSELoss: 2.243839e-03    Training MSELoss: 1.816684e-03
Epoch 193    Validation MSELoss: 2.553623e-03    Training MSELoss: 1.791089e-03
Epoch 194    Validation MSELoss: 2.711400e-03    Training MSELoss: 1.834950e-03
Epoch 195    Validation MSELoss: 1.852583e-03    Training MSELoss: 2.098390e-03
Epoch 196    Validation MSELoss: 1.061537e-03    Training MSELoss: 2.038975e-03
Epoch 197    Validation MSELoss: 2.047143e-03    Training MSELoss: 1.993330e-03
Epoch 198    Validation MSELoss: 1.244501e-03    Training MSELoss: 1.959797e-03
Epoch 199    Validation MSELoss: 1.740572e-03    Training MSELoss: 1.908714e-03
Epoch 200    Validation MSELoss: 2.285470e-03    Training MSELoss: 1.859700e-03
Epoch 201    Validation MSELoss: 1.766204e-03    Training MSELoss: 1.884521e-03
Epoch 202    Validation MSELoss: 1.714789e-03    Training MSELoss: 1.759727e-03
Epoch 203    Validation MSELoss: 2.120178e-03    Training MSELoss: 1.794789e-03
Epoch 204    Validation MSELoss: 1.656809e-03    Training MSELoss: 1.762126e-03
Epoch 205    Validation MSELoss: 1.770784e-03    Training MSELoss: 1.785143e-03
Epoch 206    Validation MSELoss: 2.552160e-03    Training MSELoss: 1.764573e-03
Epoch 207    Validation MSELoss: 2.160513e-03    Training MSELoss: 1.637385e-03
Epoch 208    Validation MSELoss: 1.984757e-03    Training MSELoss: 1.644003e-03
Epoch 209    Validation MSELoss: 1.076741e-03    Training MSELoss: 1.659906e-03
Epoch 210    Validation MSELoss: 2.154118e-03    Training MSELoss: 1.710991e-03
Epoch 211    Validation MSELoss: 2.353044e-03    Training MSELoss: 1.695359e-03
Epoch 212    Validation MSELoss: 1.414679e-03    Training MSELoss: 1.677695e-03
Epoch 213    Validation MSELoss: 1.493022e-03    Training MSELoss: 1.627785e-03
Epoch 214    Validation MSELoss: 1.809010e-03    Training MSELoss: 1.632845e-03
Epoch 215    Validation MSELoss: 1.506752e-03    Training MSELoss: 1.646438e-03
Epoch 216    Validation MSELoss: 2.230379e-03    Training MSELoss: 1.614691e-03
Epoch 217    Validation MSELoss: 2.168882e-03    Training MSELoss: 1.806368e-03
Epoch 218    Validation MSELoss: 1.071185e-03    Training MSELoss: 1.864266e-03
Epoch 219    Validation MSELoss: 1.157331e-03    Training MSELoss: 1.757305e-03
Epoch 220    Validation MSELoss: 1.348875e-03    Training MSELoss: 1.686088e-03
Epoch 221    Validation MSELoss: 1.476783e-03    Training MSELoss: 1.632968e-03
Epoch 222    Validation MSELoss: 1.565783e-03    Training MSELoss: 1.591335e-03
Epoch 223    Validation MSELoss: 1.806923e-03    Training MSELoss: 1.622071e-03
Epoch 224    Validation MSELoss: 1.324618e-03    Training MSELoss: 1.645161e-03
Epoch 225    Validation MSELoss: 9.047284e-04    Training MSELoss: 1.729791e-03
Epoch 226    Validation MSELoss: 1.509715e-03    Training MSELoss: 1.670750e-03
Epoch 227    Validation MSELoss: 1.409118e-03    Training MSELoss: 1.610646e-03
Epoch 228    Validation MSELoss: 1.966983e-03    Training MSELoss: 1.633845e-03
Epoch 229    Validation MSELoss: 1.328535e-03    Training MSELoss: 1.640438e-03
Epoch 230    Validation MSELoss: 1.634917e-03    Training MSELoss: 1.559421e-03
Epoch 231    Validation MSELoss: 1.513439e-03    Training MSELoss: 1.496197e-03
Epoch 232    Validation MSELoss: 2.107479e-03    Training MSELoss: 1.498895e-03
Epoch 233    Validation MSELoss: 9.013781e-04    Training MSELoss: 1.519794e-03
Epoch 234    Validation MSELoss: 1.916769e-03    Training MSELoss: 1.485346e-03
Epoch 235    Validation MSELoss: 1.106250e-03    Training MSELoss: 1.493637e-03
Epoch 236    Validation MSELoss: 9.935406e-04    Training MSELoss: 1.419149e-03
Epoch 237    Validation MSELoss: 1.156074e-03    Training MSELoss: 1.370689e-03
Epoch 238    Validation MSELoss: 1.096458e-03    Training MSELoss: 1.347305e-03
Epoch 239    Validation MSELoss: 8.248455e-04    Training MSELoss: 1.348548e-03
Epoch 240    Validation MSELoss: 1.422987e-03    Training MSELoss: 1.424307e-03
Epoch 241    Validation MSELoss: 1.284851e-03    Training MSELoss: 1.429640e-03
Epoch 242    Validation MSELoss: 8.332986e-04    Training MSELoss: 1.394110e-03
Epoch 243    Validation MSELoss: 1.660211e-03    Training MSELoss: 1.331237e-03
Epoch 244    Validation MSELoss: 3.640746e-03    Training MSELoss: 1.299639e-03
Epoch 245    Validation MSELoss: 1.477241e-03    Training MSELoss: 1.284972e-03
Epoch 246    Validation MSELoss: 1.722990e-03    Training MSELoss: 1.276426e-03
Epoch 247    Validation MSELoss: 2.157629e-03    Training MSELoss: 1.331470e-03
Epoch 248    Validation MSELoss: 1.561656e-03    Training MSELoss: 1.391575e-03
Epoch 249    Validation MSELoss: 1.090046e-03    Training MSELoss: 1.326327e-03
Epoch 250    Validation MSELoss: 1.366035e-03    Training MSELoss: 1.266981e-03
Epoch 251    Validation MSELoss: 1.631713e-03    Training MSELoss: 1.295438e-03
Epoch 252    Validation MSELoss: 8.117934e-04    Training MSELoss: 1.291067e-03
Epoch 253    Validation MSELoss: 2.072065e-03    Training MSELoss: 1.275190e-03
Epoch 254    Validation MSELoss: 1.417063e-03    Training MSELoss: 1.254502e-03
Epoch 255    Validation MSELoss: 7.825441e-04    Training MSELoss: 1.198386e-03
Epoch 256    Validation MSELoss: 1.200433e-03    Training MSELoss: 1.207698e-03
Epoch 257    Validation MSELoss: 9.119033e-04    Training MSELoss: 1.281597e-03
Epoch 258    Validation MSELoss: 8.717856e-04    Training MSELoss: 1.350017e-03
Epoch 259    Validation MSELoss: 8.844589e-04    Training MSELoss: 1.320664e-03
Epoch 260    Validation MSELoss: 1.014509e-03    Training MSELoss: 1.347014e-03
Epoch 261    Validation MSELoss: 9.427717e-04    Training MSELoss: 1.341540e-03
Epoch 262    Validation MSELoss: 1.018963e-03    Training MSELoss: 1.311497e-03
Epoch 263    Validation MSELoss: 1.440607e-03    Training MSELoss: 1.274343e-03
Epoch 264    Validation MSELoss: 1.038033e-03    Training MSELoss: 1.251206e-03
Epoch 265    Validation MSELoss: 1.352306e-03    Training MSELoss: 1.223459e-03
Epoch 266    Validation MSELoss: 1.183817e-03    Training MSELoss: 1.145740e-03
Epoch 267    Validation MSELoss: 8.252121e-04    Training MSELoss: 1.281352e-03
Epoch 268    Validation MSELoss: 1.310632e-03    Training MSELoss: 1.310514e-03
Epoch 269    Validation MSELoss: 9.954252e-04    Training MSELoss: 1.224356e-03
Epoch 270    Validation MSELoss: 9.783567e-04    Training MSELoss: 1.199803e-03
Epoch 271    Validation MSELoss: 1.233380e-03    Training MSELoss: 1.155089e-03
Epoch 272    Validation MSELoss: 5.876939e-04    Training MSELoss: 1.096212e-03
Epoch 273    Validation MSELoss: 1.224794e-03    Training MSELoss: 1.052998e-03
Epoch 274    Validation MSELoss: 9.412892e-04    Training MSELoss: 1.057420e-03
Epoch 275    Validation MSELoss: 6.462847e-04    Training MSELoss: 1.035480e-03
Epoch 276    Validation MSELoss: 7.615407e-04    Training MSELoss: 1.102604e-03
Epoch 277    Validation MSELoss: 8.763712e-04    Training MSELoss: 1.115073e-03
Epoch 278    Validation MSELoss: 8.325617e-04    Training MSELoss: 1.150534e-03
Epoch 279    Validation MSELoss: 7.697389e-04    Training MSELoss: 1.182446e-03
Epoch 280    Validation MSELoss: 1.348614e-03    Training MSELoss: 1.212849e-03
Epoch 281    Validation MSELoss: 1.029796e-03    Training MSELoss: 1.125324e-03
Epoch 282    Validation MSELoss: 5.428238e-04    Training MSELoss: 1.080127e-03
Epoch 283    Validation MSELoss: 1.044264e-03    Training MSELoss: 1.039203e-03
Epoch 284    Validation MSELoss: 7.549844e-04    Training MSELoss: 1.004923e-03
Epoch 285    Validation MSELoss: 7.395062e-04    Training MSELoss: 9.943171e-04
Epoch 286    Validation MSELoss: 7.273174e-04    Training MSELoss: 9.796992e-04
Epoch 287    Validation MSELoss: 1.026165e-03    Training MSELoss: 9.857678e-04
Epoch 288    Validation MSELoss: 1.235653e-03    Training MSELoss: 9.759449e-04
Epoch 289    Validation MSELoss: 1.162291e-03    Training MSELoss: 1.004197e-03
Epoch 290    Validation MSELoss: 7.234520e-04    Training MSELoss: 1.017887e-03
Epoch 291    Validation MSELoss: 7.298574e-04    Training MSELoss: 1.024626e-03
Epoch 292    Validation MSELoss: 7.468915e-04    Training MSELoss: 1.017095e-03
Epoch 293    Validation MSELoss: 6.146976e-04    Training MSELoss: 1.038516e-03
Epoch 294    Validation MSELoss: 7.821633e-04    Training MSELoss: 9.878760e-04
