Epoch 210    Validation MSELoss: 8.412031e-05    Training MSELoss: 3.158970e-04
Epoch 211    Validation MSELoss: 9.797022e-05    Training MSELoss: 2.806479e-04
Epoch 212    Validation MSELoss: 7.971766e-05    Training MSELoss: 2.968003e-04
Epoch 213    Validation MSELoss: 8.645650e-05    Training MSELoss: 3.109909e-04
Epoch 214    Validation MSELoss: 9.905259e-05    Training MSELoss: 2.759776e-04
Epoch 215    Validation MSELoss: 6.952447e-05    Training MSELoss: 2.996332e-04
Epoch 216    Validation MSELoss: 7.499479e-05    Training MSELoss: 3.075223e-04
Epoch 217    Validation MSELoss: 1.010519e-04    Training MSELoss: 2.992198e-04
Epoch 218    Validation MSELoss: 9.395198e-05    Training MSELoss: 2.870716e-04
Epoch 219    Validation MSELoss: 5.856757e-05    Training MSELoss: 2.787607e-04
Epoch 220    Validation MSELoss: 8.316124e-05    Training MSELoss: 2.520143e-04
Epoch 221    Validation MSELoss: 5.544679e-05    Training MSELoss: 2.738840e-04
Epoch 222    Validation MSELoss: 8.471851e-05    Training MSELoss: 2.800712e-04
Epoch 223    Validation MSELoss: 9.534196e-05    Training MSELoss: 2.891407e-04
Epoch 224    Validation MSELoss: 8.197446e-05    Training MSELoss: 2.798348e-04
Epoch 225    Validation MSELoss: 8.703436e-05    Training MSELoss: 2.999154e-04
Epoch 226    Validation MSELoss: 1.278846e-04    Training MSELoss: 2.753731e-04
Epoch 227    Validation MSELoss: 7.739729e-05    Training MSELoss: 2.636991e-04
Epoch 228    Validation MSELoss: 7.855242e-05    Training MSELoss: 2.431112e-04
Epoch 229    Validation MSELoss: 8.781101e-05    Training MSELoss: 2.715912e-04
Epoch 230    Validation MSELoss: 9.860133e-05    Training MSELoss: 2.585539e-04
Epoch 231    Validation MSELoss: 7.427418e-05    Training MSELoss: 2.862603e-04
Epoch 232    Validation MSELoss: 6.755398e-05    Training MSELoss: 2.593369e-04
Epoch 233    Validation MSELoss: 7.516517e-05    Training MSELoss: 2.690208e-04
Epoch 234    Validation MSELoss: 6.088369e-05    Training MSELoss: 2.760920e-04
Epoch 235    Validation MSELoss: 7.941428e-05    Training MSELoss: 2.711975e-04
Epoch 236    Validation MSELoss: 5.569842e-05    Training MSELoss: 2.704522e-04
Epoch 237    Validation MSELoss: 5.357583e-05    Training MSELoss: 2.448505e-04
Epoch 238    Validation MSELoss: 6.722913e-05    Training MSELoss: 2.591442e-04
Epoch 239    Validation MSELoss: 5.885560e-05    Training MSELoss: 2.650882e-04
Epoch 240    Validation MSELoss: 6.607665e-05    Training MSELoss: 2.260077e-04
Epoch 241    Validation MSELoss: 5.578813e-05    Training MSELoss: 2.614006e-04
Epoch 242    Validation MSELoss: 6.232502e-05    Training MSELoss: 2.651394e-04
Epoch 243    Validation MSELoss: 6.885040e-05    Training MSELoss: 2.516086e-04
Epoch 244    Validation MSELoss: 4.944310e-05    Training MSELoss: 2.551695e-04
Epoch 245    Validation MSELoss: 4.745985e-05    Training MSELoss: 2.622574e-04
Epoch 246    Validation MSELoss: 4.567218e-05    Training MSELoss: 2.460406e-04
Epoch 247    Validation MSELoss: 6.775544e-05    Training MSELoss: 2.591454e-04
Epoch 248    Validation MSELoss: 5.260574e-05    Training MSELoss: 2.273815e-04
Epoch 249    Validation MSELoss: 5.411563e-05    Training MSELoss: 2.474179e-04
Epoch 250    Validation MSELoss: 5.582855e-05    Training MSELoss: 2.461595e-04
Epoch 251    Validation MSELoss: 5.519730e-05    Training MSELoss: 2.255257e-04
Epoch 252    Validation MSELoss: 5.735527e-05    Training MSELoss: 2.386900e-04
Epoch 253    Validation MSELoss: 6.015238e-05    Training MSELoss: 2.512674e-04
Epoch 254    Validation MSELoss: 5.945561e-05    Training MSELoss: 2.300145e-04
Epoch 255    Validation MSELoss: 4.908641e-05    Training MSELoss: 2.382406e-04
Epoch 256    Validation MSELoss: 5.176058e-05    Training MSELoss: 2.468040e-04
Epoch 257    Validation MSELoss: 3.958769e-05    Training MSELoss: 2.451482e-04
Epoch 258    Validation MSELoss: 3.985129e-05    Training MSELoss: 2.380796e-04
Epoch 259    Validation MSELoss: 5.572202e-05    Training MSELoss: 2.218764e-04
Epoch 260    Validation MSELoss: 4.655906e-05    Training MSELoss: 2.224406e-04
Epoch 261    Validation MSELoss: 5.127940e-05    Training MSELoss: 2.405262e-04
Epoch 262    Validation MSELoss: 4.595765e-05    Training MSELoss: 2.530380e-04
Epoch 263    Validation MSELoss: 3.446642e-05    Training MSELoss: 2.359838e-04
Epoch 264    Validation MSELoss: 4.179341e-05    Training MSELoss: 2.477820e-04
Epoch 265    Validation MSELoss: 4.245547e-05    Training MSELoss: 2.363867e-04
Epoch 266    Validation MSELoss: 4.443935e-05    Training MSELoss: 2.300862e-04
Epoch 267    Validation MSELoss: 4.461130e-05    Training MSELoss: 2.336902e-04
Epoch 268    Validation MSELoss: 3.821864e-05    Training MSELoss: 2.174624e-04
Epoch 269    Validation MSELoss: 3.709569e-05    Training MSELoss: 2.376172e-04
Epoch 270    Validation MSELoss: 3.598166e-05    Training MSELoss: 2.412380e-04
Epoch 271    Validation MSELoss: 4.023127e-05    Training MSELoss: 2.312624e-04
Epoch 272    Validation MSELoss: 4.715579e-05    Training MSELoss: 2.301608e-04
Epoch 273    Validation MSELoss: 3.055431e-05    Training MSELoss: 2.336406e-04
Epoch 274    Validation MSELoss: 4.013789e-05    Training MSELoss: 2.215226e-04
Epoch 275    Validation MSELoss: 4.628524e-05    Training MSELoss: 2.111845e-04
Epoch 276    Validation MSELoss: 4.162903e-05    Training MSELoss: 2.295188e-04
Epoch 277    Validation MSELoss: 3.052332e-05    Training MSELoss: 2.258475e-04
Epoch 278    Validation MSELoss: 3.768974e-05    Training MSELoss: 2.424299e-04
Epoch 279    Validation MSELoss: 2.702620e-05    Training MSELoss: 2.254221e-04
Epoch 280    Validation MSELoss: 2.774225e-05    Training MSELoss: 2.262982e-04
Epoch 281    Validation MSELoss: 3.644983e-05    Training MSELoss: 2.106532e-04
Epoch 282    Validation MSELoss: 3.255217e-05    Training MSELoss: 2.390146e-04
Epoch 283    Validation MSELoss: 6.790242e-05    Training MSELoss: 2.087195e-04
Epoch 284    Validation MSELoss: 3.656908e-05    Training MSELoss: 2.391478e-04
Epoch 285    Validation MSELoss: 3.726549e-05    Training MSELoss: 2.443868e-04
Epoch 286    Validation MSELoss: 3.814141e-05    Training MSELoss: 2.100680e-04
Epoch 287    Validation MSELoss: 4.074591e-05    Training MSELoss: 2.050945e-04
Epoch 288    Validation MSELoss: 3.930464e-05    Training MSELoss: 2.259375e-04
Epoch 289    Validation MSELoss: 3.410568e-05    Training MSELoss: 2.343822e-04
Epoch 290    Validation MSELoss: 3.179461e-05    Training MSELoss: 2.166560e-04
Epoch 291    Validation MSELoss: 3.259843e-05    Training MSELoss: 2.250422e-04
Epoch 292    Validation MSELoss: 4.012054e-05    Training MSELoss: 2.353940e-04
Epoch 293    Validation MSELoss: 3.543229e-05    Training MSELoss: 2.125741e-04
Epoch 294    Validation MSELoss: 3.785304e-05    Training MSELoss: 2.450375e-04
Epoch 295    Validation MSELoss: 3.450287e-05    Training MSELoss: 2.190376e-04
Epoch 296    Validation MSELoss: 3.871504e-05    Training MSELoss: 1.889708e-04
Epoch 297    Validation MSELoss: 4.144736e-05    Training MSELoss: 2.248688e-04
Epoch 298    Validation MSELoss: 3.814672e-05    Training MSELoss: 2.364884e-04
Epoch 299    Validation MSELoss: 4.161632e-05    Training MSELoss: 2.127439e-04
